Actual,Predicted
1833.0799560546875,645.0081787109375
1833.9300537109373,977.7359008789062
1832.9708251953125,1510.3782958984375
1832.070556640625,1811.8009033203125
1829.4849853515625,1878.90625
1833.7099609374998,1874.868408203125
1823.1590576171875,1847.698974609375
1824.5200195312498,1837.947265625
1821.510009765625,1828.03662109375
1820.6700439453125,1826.0247802734375
1821.6700439453125,1825.328125
1826.1149902343748,1829.3582763671875
1826.6899414062498,1828.7984619140625
1826.31005859375,1827.3865966796875
1824.3299560546873,1826.158203125
1826.8800048828123,1828.22314453125
1826.5450439453123,1828.145263671875
1826.6999511718748,1829.4154052734375
1823.8850097656248,1826.4046630859375
1821.030029296875,1823.2994384765625
1823.280029296875,1824.71337890625
1823.458251953125,1826.199462890625
1827.4412841796875,1828.8096923828125
1828.7099609375,1829.5550537109375
1827.9999999999998,1829.57373046875
1826.800048828125,1828.665283203125
1823.849975585937,1825.982666015625
1824.7602539062498,1826.65087890625
1824.010009765625,1826.49609375
1822.9549560546875,1824.9542236328125
1823.699951171875,1825.8104248046875
1828.34228515625,1827.717041015625
1827.800048828125,1830.6282958984375
1830.5100097656248,1831.6849365234375
1828.5899658203125,1830.630126953125
1829.43994140625,1830.61279296875
1825.93994140625,1827.4736328125
1825.97998046875,1828.267578125
1825.4940185546873,1827.639404296875
1827.0600585937498,1828.2359619140625
1826.6999511718748,1829.0860595703125
1828.1400146484373,1829.3831787109375
1829.2800292968748,1830.7952880859375
1826.4599609375,1828.25537109375
1827.099975585937,1829.6826171875
1826.7299804687498,1827.62841796875
1828.239990234375,1829.776611328125
1827.239990234375,1829.9833984375
1829.2900390624998,1829.977294921875
1830.93505859375,1832.96533203125
1831.7674560546873,1833.2403564453125
1833.0,1834.1551513671875
1832.22998046875,1833.742431640625
1832.9503173828125,1834.65576171875
1830.72998046875,1833.53515625
1830.0,1831.1937255859375
1830.5500488281248,1832.023681640625
1831.239990234375,1832.8212890625
1830.449951171875,1833.053466796875
1830.1259765625,1831.80078125
1828.719970703125,1830.2791748046875
1827.9000244140625,1830.2095947265625
1826.0799560546875,1827.7540283203125
1826.2900390625,1827.755859375
1826.800048828125,1828.8985595703125
1827.4200439453125,1829.23876953125
1826.510009765625,1828.57080078125
1824.410888671875,1826.085693359375
1825.4000244140625,1827.2047119140625
1824.5200195312498,1826.3216552734375
1827.0396728515625,1828.97216796875
1826.93994140625,1828.21435546875
1826.9200439453125,1828.1934814453125
1827.4300537109375,1828.897705078125
1827.3399658203125,1829.1060791015625
1826.9200439453125,1828.444091796875
1825.4699707031248,1827.40087890625
1826.3533935546875,1827.6856689453125
1827.1800537109373,1829.048583984375
1828.6099853515625,1830.0244140625
1828.5699462890625,1830.977294921875
1828.3599853515625,1829.4912109375
1828.8599853515625,1830.801513671875
1828.47998046875,1830.5550537109375
1827.489990234375,1829.748291015625
