Actual,Predicted
4951.2,31.0584716796875
4910.0,31.0457763671875
4909.95,5880.892578125
4903.0,4936.416015625
4895.0,4725.181640625
4901.0,4865.6611328125
4893.4,4849.072265625
4880.8,4880.5966796875
4888.85,4869.91455078125
4885.2,4875.65625
4878.5,4871.9951171875
4875.9,4867.1220703125
4883.999999999999,4863.580078125
4880.0,4869.55419921875
4871.999999999999,4869.9873046875
4885.0,4859.23046875
4906.0,4871.134765625
4925.0,4888.3173828125
4927.65,4908.48046875
4919.75,4911.3095703125
4916.399999999999,4907.81201171875
4915.05,4901.8623046875
4912.0,4903.4501953125
4914.049999999999,4898.93994140625
4913.1,4901.6484375
4903.45,4898.685546875
4891.5,4892.53466796875
4890.9,4880.759765625
4888.0,4879.8134765625
4889.75,4874.9658203125
4880.75,4877.09521484375
4878.95,4870.48828125
4874.0,4869.43359375
4878.8,4863.3828125
4866.4,4868.140625
4873.5,4858.734375
4882.0,4861.5908203125
4889.25,4869.533203125
4898.8,4875.6640625
4873.1,4882.994140625
4880.9,4867.970703125
4876.85,4868.0888671875
4870.6,4867.31982421875
4872.049999999999,4861.00439453125
4877.25,4861.271484375
4874.0,4863.9462890625
4874.9,4863.7099609375
4876.45,4862.291015625
4874.5,4866.8359375
4866.3,4863.0087890625
4863.549999999999,4855.0771484375
4848.35,4852.8701171875
4844.1,4841.66796875
4852.8,4831.0
4838.45,4841.27734375
4847.7,4830.86328125
4858.25,4835.052734375
4847.4,4845.087890625
4851.7,4837.98388671875
4860.7,4840.884765625
4860.55,4849.0302734375
4863.549999999999,4849.2724609375
4861.5,4850.150390625
4860.85,4849.65625
4856.1,4848.96240234375
4864.0,4844.88134765625
4881.05,4849.529296875
4875.4,4866.01806640625
4873.15,4865.5205078125
4882.8,4862.6650390625
4873.55,4868.01171875
4877.999999999999,4865.05224609375
4855.05,4863.54150390625
4856.05,4847.5595703125
4863.8,4845.6181640625
4864.0,4847.646484375
4838.6,4846.7890625
4831.0,4832.6298828125
4827.499999999999,4823.0859375
4824.0,4818.875
4840.25,4815.142578125
4848.35,4826.197265625
4841.1,4835.6806640625
4840.0,4831.6806640625
4826.0,4825.0625
4817.95,4821.125
4833.0,4810.779296875
4825.15,4818.380859375
4816.4,4815.8671875
4820.8,4805.8505859375
4818.85,4811.626953125
4813.95,4806.240234375
4810.2,4805.24609375
4804.0,4801.17578125
4816.9,4795.07421875
4816.05,4803.75146484375
4814.4,4806.07666015625
4815.95,4803.41796875
4818.9,4804.40234375
4811.45,4806.8173828125
4814.0,4802.47265625
4815.35,4803.0966796875
4811.7,4805.34375
4808.75,4802.60107421875
4805.65,4797.404296875
4815.0,4796.9140625
4814.15,4802.22265625
4815.0,4801.8505859375
4812.949999999999,4804.17529296875
4826.35,4803.720703125
4826.95,4815.51611328125
4830.0,4817.720703125
4846.05,4817.3916015625
4868.05,4834.30859375
4874.0,4851.13671875
4864.0,4859.44775390625
4871.05,4857.39013671875
4859.1,4857.9072265625
4857.75,4850.6396484375
4850.0,4845.5693359375
4824.85,4839.0654296875
4824.9,4819.3896484375
4829.9,4812.3515625
4816.8,4818.9638671875
4812.3,4810.90625
4815.0,4803.16650390625
4823.199999999999,4804.4541015625
4809.0,4810.9404296875
4789.25,4802.81640625
4803.399999999999,4783.9716796875
4800.0,4790.8515625
4803.95,4793.0
4802.0,4793.27001953125
4796.0,4792.38671875
4790.0,4787.06494140625
4798.0,4781.7412109375
4799.55,4787.87353515625
4806.85,4786.47900390625
4812.15,4795.466796875
4810.45,4801.1611328125
4814.0,4802.9599609375
4814.9,4801.3203125
4815.85,4803.3203125
4817.6,4805.52392578125
4821.95,4806.24169921875
4837.15,4809.5751953125
4826.0,4823.35595703125
4826.0,4817.951171875
4814.0,4814.9638671875
4816.8,4807.5927734375
4865.0,4803.572265625
4838.6,4804.5712890625
4847.0,4852.177734375
4838.85,4832.97265625
4833.3,4832.2080078125
4822.0,4822.841796875
4828.0,4816.935546875
4836.0,4816.6142578125
4848.0,4824.1376953125
4855.0,4834.3427734375
4846.5,4842.4736328125
4846.3,4839.44970703125
4870.0,4833.974609375
4877.0,4852.0478515625
4886.4,4865.7626953125
4881.2,4872.6005859375
4869.0,4869.25390625
4863.0,4861.48486328125
4865.949999999999,4852.9619140625
4869.95,4853.46923828125
4874.1,4858.3427734375
4856.0,4861.984375
4864.15,4851.08984375
4871.999999999999,4851.19482421875
4870.0,4859.16015625
4867.749999999999,4858.455078125
4860.15,4859.5654296875
4864.25,4851.3544921875
4852.0,4854.0341796875
4856.8,4845.4931640625
4866.8,4846.1689453125
4859.0,4853.59033203125
4855.0,4850.455078125
4855.749999999999,4845.111328125
4855.95,4847.06298828125
4848.45,4845.00390625
4847.4,4839.333984375
4842.05,4835.73046875
4840.1,4834.56396484375
4849.6,4829.9140625
4857.9,4837.36328125
4859.999999999999,4844.728515625
4855.5,4850.5322265625
4857.9,4845.25
4846.45,4844.701171875
4844.0,4839.9638671875
4845.0,4834.333984375
4842.0,4833.9853515625
4845.499999999999,4833.03125
4855.0,4834.3759765625
4856.7,4843.4853515625
4860.65,4845.64453125
4845.1,4848.94921875
4853.3,4838.92724609375
4857.0,4842.30029296875
4877.1,4845.87255859375
4873.0,4861.9140625
4869.549999999999,4863.482421875
4872.3,4858.697265625
4868.95,4860.23193359375
4871.0,4857.05859375
4851.7,4861.5029296875
4859.25,4846.8310546875
4867.9,4847.107421875
4876.0,4855.0673828125
4868.0,4861.0
4873.05,4860.322265625
4871.949999999999,4859.6630859375
4868.25,4859.865234375
4868.0,4856.78564453125
4859.899999999999,4856.357421875
4865.999999999999,4848.7685546875
4863.399999999999,4853.4208984375
4872.45,4852.98095703125
4876.25,4859.30029296875
4870.0,4864.33056640625
4903.75,4856.9453125
4884.099999999999,4896.10107421875
4874.05,4877.2099609375
4877.999999999999,4868.7216796875
4871.0,4866.9208984375
4883.0,4863.1669921875
4882.0,4870.166015625
4885.0,4873.3359375
4881.4,4873.7724609375
4889.0,4870.3310546875
4898.2,4874.3203125
4915.0,4889.072265625
4925.0,4901.63671875
4919.0,4912.27392578125
4923.45,4909.0634765625
4936.65,4912.9365234375
4935.7,4923.1748046875
4951.15,4924.5029296875
4950.5,4936.6875
4941.6,4938.6181640625
4939.0,4933.03662109375
4937.0,4927.6337890625
4935.0,4922.9365234375
4926.049999999999,4923.8017578125
4919.999999999999,4917.103515625
4927.65,4911.4208984375
4906.149999999999,4912.4599609375
4896.5,4901.103515625
4862.15,4888.884765625
4877.0,4861.6904296875
4872.55,4867.0390625
4871.1,4865.1416015625
4865.0,4863.634765625
4869.9,4858.0390625
4872.25,4860.01953125
4870.0,4862.7080078125
4870.7,4862.9306640625
4870.65,4863.6962890625
4865.0,4861.1337890625
4866.8,4857.7685546875
4863.25,4858.216796875
4853.999999999999,4855.2314453125
4837.55,4846.6806640625
4825.95,4833.98583984375
4833.15,4821.13134765625
4842.0,4823.98046875
4839.549999999999,4836.681640625
4848.6,4834.24267578125
4848.45,4837.61328125
4851.95,4838.07958984375
4864.15,4841.70654296875
4866.25,4851.4033203125
4864.0,4857.6787109375
4859.999999999999,4857.5908203125
4858.0,4852.306640625
4849.0,4850.921875
4852.5,4842.3759765625
4854.25,4842.61376953125
4853.949999999999,4846.6103515625
4849.45,4844.3359375
4845.9,4840.5458984375
4852.25,4838.78662109375
4868.45,4840.5283203125
4863.65,4855.8720703125
4876.0,4853.06396484375
4886.0,4863.8564453125
4879.799999999999,4872.83251953125
4875.3,4869.365234375
4877.25,4866.45654296875
4880.9,4866.1416015625
4864.95,4870.4833984375
4877.0,4858.4638671875
4877.999999999999,4863.65966796875
4880.25,4867.1279296875
4870.0,4867.708984375
4888.6,4867.60888671875
4857.85,4870.0166015625
4860.85,4848.55712890625
4865.5,4847.0068359375
4866.85,4855.19775390625
4860.95,4858.05419921875
4866.6,4851.8818359375
4863.75,4853.978515625
4849.749999999999,4849.392578125
4848.7,4840.08984375
4853.999999999999,4837.28271484375
4849.0,4840.748046875
4845.85,4837.8212890625
4865.0,4834.77734375
4862.1,4847.2177734375
4864.55,4851.779296875
4874.25,4851.58935546875
4880.0,4861.3720703125
4876.0,4864.07275390625
4879.95,4865.6572265625
4876.0,4869.74267578125
4873.0,4864.220703125
4874.0,4862.90234375
4875.85,4861.33984375
4881.7,4864.974609375
4882.65,4868.5458984375
4883.0,4868.9189453125
4875.45,4872.81982421875
4871.5,4864.46044921875
4866.45,4861.80810546875
4871.5,4854.61181640625
4878.15,4860.46826171875
4883.999999999999,4864.91015625
4881.0,4869.951171875
4907.0,4871.216796875
4905.2,4889.0556640625
4916.75,4895.23095703125
4909.0,4904.22021484375
4902.2,4899.0458984375
4895.0,4890.927734375
4899.95,4882.8330078125
4889.999999999999,4887.82373046875
4885.5,4880.89990234375
4881.95,4875.3515625
4877.0,4869.53466796875
4859.85,4869.865234375
4863.0,4850.9228515625
4858.0,4851.4560546875
4859.999999999999,4849.24462890625
4842.2,4848.53369140625
4849.0,4837.8828125
4836.45,4838.0908203125
4838.05,4828.7578125
4834.95,4828.9931640625
4838.0,4825.037109375
4835.199999999999,4828.078125
4830.7,4827.654296875
4829.0,4821.998046875
4830.0,4819.67626953125
4832.05,4820.53125
4835.199999999999,4824.1171875
4839.0,4823.60400390625
4840.1,4827.9150390625
4833.75,4830.6201171875
4832.7,4825.5595703125
4836.1,4821.6787109375
4850.05,4825.80908203125
4845.0,4837.697265625
4839.95,4835.06640625
4840.0,4830.05615234375
4841.4,4831.7294921875
4823.149999999999,4830.6748046875
4818.999999999999,4818.38427734375
4823.0,4811.619140625
