Actual,Predicted
4876.14990234375,323.123046875
4867.7001953125,3518.749755859375
4903.75,5120.771484375
4884.10009765625,5030.22412109375
4874.0498046875,4879.5146484375
4878.0,4872.1884765625
4871.0,4864.85595703125
4883.0,4877.7490234375
4882.0,4879.2685546875
4885.0,4879.85546875
4881.39990234375,4875.369140625
4888.7998046875,4882.27978515625
4899.0,4898.49951171875
4914.25,4910.54833984375
4923.0,4920.37841796875
4919.0,4911.96728515625
4923.4501953125,4921.7314453125
4936.64990234375,4933.11962890625
4935.35009765625,4929.919921875
4951.0,4948.54150390625
4949.89990234375,4942.9482421875
4941.60009765625,4938.1962890625
4938.0498046875,4933.853515625
4935.0,4928.96337890625
4935.0,4929.8095703125
4926.0498046875,4922.0546875
4920.0,4916.79638671875
4926.9501953125,4919.68017578125
4906.14990234375,4903.14306640625
4896.0,4891.828125
4862.2001953125,4861.5107421875
4877.10009765625,4874.673828125
4871.0,4869.16796875
4873.0498046875,4868.46337890625
4865.9501953125,4862.341796875
4869.89990234375,4867.3154296875
4871.5498046875,4867.96484375
4870.0,4867.92919921875
4870.7001953125,4869.33349609375
4870.64990234375,4867.61767578125
4865.0,4861.40869140625
4866.7998046875,4863.0595703125
4863.25,4859.8076171875
4853.5498046875,4849.857421875
4837.5498046875,4834.3935546875
4825.9501953125,4824.41552734375
4833.14990234375,4829.8330078125
4846.0,4843.171875
4839.5498046875,4837.5869140625
4848.35009765625,4844.19970703125
4848.4501953125,4843.5927734375
4851.9501953125,4846.42578125
4864.14990234375,4858.6396484375
4866.25,4863.650390625
4864.0,4862.029296875
4860.0,4857.22265625
4858.0,4856.0908203125
4849.0,4845.560546875
4854.0,4848.94140625
4854.39990234375,4852.45263671875
4853.9501953125,4849.57421875
4849.4501953125,4845.12841796875
4845.89990234375,4843.47412109375
4854.0,4847.51025390625
4868.4501953125,4865.556640625
4863.64990234375,4856.8193359375
4875.4501953125,4872.828125
4886.0,4880.3369140625
4879.7998046875,4873.998046875
4875.2998046875,4871.79296875
4879.0,4872.955078125
4880.89990234375,4878.47314453125
4864.9501953125,4861.16455078125
4877.0,4872.888671875
4878.0,4872.8623046875
4880.25,4875.5107421875
