Actual,Predicted
4876.89990234375,4339.7119140625
4874.899902343749,4339.7119140625
4866.35009765625,4327.958984375
4874.2998046875,4471.2236328125
4878.0,4569.66455078125
4876.39990234375,4646.51708984375
4875.9501953125,4706.01171875
4872.9501953125,4756.94189453125
4870.0,4800.767578125
4871.0,4834.63232421875
4874.0,4857.76953125
4878.0,4872.17919921875
4882.100097656249,4881.14892578125
4879.999999999999,4887.3427734375
4883.0,4885.41162109375
4888.60009765625,4886.6630859375
4885.85009765625,4891.87158203125
4881.0,4888.1669921875
4884.999999999999,4884.62939453125
4882.0,4885.33251953125
4881.89990234375,4884.07275390625
4883.75,4882.79296875
4884.850097656249,4883.72412109375
4884.0,4886.5595703125
4884.999999999999,4885.02880859375
4881.10009765625,4886.01513671875
4883.0,4882.5322265625
4877.9501953125,4884.9462890625
4884.0,4878.43994140625
4881.39990234375,4883.19873046875
4883.39990234375,4882.98046875
4876.35009765625,4883.6005859375
4881.0,4879.21484375
4887.0,4879.25390625
4888.799804687499,4886.6416015625
4892.60009765625,4888.77099609375
4892.450195312499,4892.75634765625
4894.39990234375,4893.43115234375
4904.499999999999,4895.75537109375
4898.999999999999,4902.80029296875
4905.0,4900.31396484375
4906.999999999999,4903.76318359375
4913.25,4907.09423828125
4915.10009765625,4913.38671875
4914.25,4915.2275390625
4928.9501953125,4914.359375
4925.10009765625,4924.587890625
4922.0,4926.513671875
4922.0,4924.1064453125
4923.0,4921.24072265625
4924.85009765625,4924.40380859375
4924.4501953125,4923.92431640625
4922.0,4925.287109375
4915.85009765625,4921.1533203125
4919.0,4919.75341796875
4924.7001953125,4917.00244140625
4925.999999999999,4924.5556640625
4922.10009765625,4924.05517578125
4925.89990234375,4923.92919921875
4923.4501953125,4923.23486328125
4935.049804687499,4924.2490234375
4931.60009765625,4932.3671875
4925.999999999999,4932.06982421875
4932.0,4927.85546875
4936.64990234375,4929.20166015625
4938.14990234375,4935.78271484375
4934.100097656249,4937.57958984375
4930.5498046875,4934.46142578125
4929.799804687499,4934.7265625
4935.35009765625,4930.18896484375
4936.600097656249,4935.65673828125
4939.7001953125,4936.970703125
4950.0,4938.37158203125
4947.999999999999,4945.1650390625
4951.0,4946.08642578125
4952.850097656249,4949.49072265625
4949.25,4953.49169921875
4945.249999999999,4949.451171875
4940.0,4946.36181640625
4949.89990234375,4941.73779296875
4949.64990234375,4946.466796875
4944.999999999999,4948.80078125
4943.4501953125,4945.607421875
4942.249999999999,4944.29296875
4941.60009765625,4941.94580078125
4935.25,4941.4248046875
4936.0,4937.12744140625
4938.0,4935.7548828125
4939.899902343749,4935.98193359375
4938.0498046875,4938.52197265625
4935.0,4938.86669921875
4929.0498046875,4935.9716796875
4933.75,4929.33056640625
4933.999999999999,4931.17626953125
4935.0,4932.65869140625
4933.999999999999,4934.8427734375
4932.0,4933.884765625
4931.0,4931.88134765625
4933.5,4931.1806640625
4935.0,4932.54638671875
4934.499999999999,4933.33154296875
4930.0498046875,4934.5556640625
4930.0,4930.34228515625
4923.0,4930.505859375
4926.0498046875,4923.5341796875
4925.0,4925.7890625
4923.0,4926.29248046875
4924.85009765625,4924.1015625
4922.10009765625,4923.986328125
4920.0,4922.87548828125
4917.999999999999,4919.86181640625
4919.700195312499,4917.64501953125
4921.149902343749,4920.02880859375
4917.999999999999,4921.34423828125
4926.9501953125,4918.0048828125
4920.7001953125,4924.0068359375
4917.7998046875,4920.70654296875
4913.89990234375,4918.16748046875
4904.899902343749,4914.0029296875
4906.14990234375,4907.14599609375
4896.4501953125,4907.6416015625
4904.499999999999,4899.86181640625
4902.0,4903.56787109375
4895.39990234375,4904.21630859375
4895.999999999999,4898.28857421875
4897.89990234375,4896.19873046875
4883.149902343749,4899.3466796875
4881.5,4888.88427734375
4873.75,4884.3515625
4862.2001953125,4877.30322265625
4875.0,4865.35205078125
4879.999999999999,4875.55029296875
4873.450195312499,4879.955078125
4876.9501953125,4876.95263671875
4877.10009765625,4877.33154296875
4870.35009765625,4878.91357421875
4872.39990234375,4872.9638671875
4873.0,4874.0771484375
4875.64990234375,4875.41943359375
4871.0,4877.23486328125
4875.89990234375,4874.078125
4869.9501953125,4874.3955078125
4870.0,4872.33837890625
4872.0,4870.439453125
4873.0498046875,4873.53564453125
4872.0,4872.92529296875
4871.0,4873.55078125
4871.0,4872.59814453125
4861.10009765625,4872.79833984375
4865.9501953125,4865.20068359375
4868.350097656249,4866.42919921875
4865.0,4867.66796875
4869.9501953125,4867.7900390625
4870.0,4869.84375
4869.89990234375,4870.33740234375
4870.2001953125,4871.6337890625
4869.149902343749,4871.3779296875
4870.0,4871.49267578125
4871.0,4871.24951171875
4871.5498046875,4872.7373046875
4872.9501953125,4872.68359375
4872.0,4872.71484375
4879.0,4873.13916015625
4874.899902343749,4877.54296875
4870.0,4876.5087890625
4870.2998046875,4871.6357421875
4875.5,4873.61328125
4873.2001953125,4874.25732421875
4871.9501953125,4875.8212890625
4870.700195312499,4872.986328125
4868.999999999999,4873.0244140625
4868.999999999999,4870.275390625
4870.0498046875,4870.41455078125
4872.0,4871.6884765625
4870.64990234375,4872.51611328125
4873.0,4873.02978515625
4871.499999999999,4872.55908203125
4870.7998046875,4873.6220703125
4869.4501953125,4872.388671875
4865.0,4870.19189453125
4865.14990234375,4866.7421875
4866.7998046875,4868.16943359375
4862.14990234375,4868.0576171875
4865.0,4864.57763671875
4866.7998046875,4865.0009765625
4868.999999999999,4868.22021484375
4862.7001953125,4869.431640625
4865.0,4867.28271484375
4862.0,4865.2509765625
4863.25,4864.140625
