date,open,high,low,close,volume
2017-04-24 09:15:00+05:30,1251.7,1255.15,1249.25,1252.65,10082
2017-04-24 09:20:00+05:30,1252.05,1255.35,1248.7,1249.55,14997
2017-04-24 09:25:00+05:30,1249.55,1255,1248.1,1251,15583
2017-04-24 09:30:00+05:30,1251.2,1253.9,1251,1253.8,3257
2017-04-24 09:35:00+05:30,1253.8,1253.8,1250.2,1251,5222
2017-04-24 09:40:00+05:30,1251,1251.3,1242.1,1247.75,15882
2017-04-24 09:45:00+05:30,1247.75,1248.8,1244.3,1248.75,3181
2017-04-24 09:50:00+05:30,1248.75,1248.75,1244.1,1246.15,3184
2017-04-24 09:55:00+05:30,1246.15,1246.25,1244.1,1245,1299
2017-04-24 10:00:00+05:30,1245,1247.4,1244.6,1246.7,1924
2017-04-24 10:05:00+05:30,1246.7,1247.5,1245.05,1246,1213
2017-04-24 10:10:00+05:30,1246,1251,1243.75,1243.8,16637
2017-04-24 10:15:00+05:30,1244.5,1249.35,1243.05,1246.3,15950
2017-04-24 10:20:00+05:30,1246.3,1250.35,1246.25,1250.3,2137
2017-04-24 10:25:00+05:30,1250.45,1251.35,1249.55,1250.95,3965
2017-04-24 10:30:00+05:30,1250,1251.6,1249.3,1250,4120
2017-04-24 10:35:00+05:30,1250,1252,1249.95,1252,6376
2017-04-24 10:40:00+05:30,1252,1252,1249,1249,482
2017-04-24 10:45:00+05:30,1249,1250,1248,1249,972
2017-04-24 10:50:00+05:30,1249,1252.5,1248.2,1248.6,2775
2017-04-24 10:55:00+05:30,1248.1,1251.8,1248.1,1251.8,1708
2017-04-24 11:00:00+05:30,1251.8,1252.95,1249.5,1251.9,2078
2017-04-24 11:05:00+05:30,1251.9,1253,1250.9,1253,1469
2017-04-24 11:10:00+05:30,1253,1254,1252,1252.85,3770
2017-04-24 11:15:00+05:30,1252.85,1257.85,1252.25,1253,11845
2017-04-24 11:20:00+05:30,1253,1254.8,1251.95,1252.15,3457
2017-04-24 11:25:00+05:30,1253,1254.5,1249.15,1254.5,10503
2017-04-24 11:30:00+05:30,1254.5,1257.4,1253.75,1254,15510
2017-04-24 11:35:00+05:30,1254.1,1254.25,1252.05,1252.5,1625
2017-04-24 11:40:00+05:30,1252.5,1255,1252.5,1253.5,1277
2017-04-24 11:45:00+05:30,1253.5,1254.4,1253.5,1253.55,1568
2017-04-24 11:50:00+05:30,1253.55,1255.2,1253.55,1254.8,3796
2017-04-24 11:55:00+05:30,1254.8,1255.95,1253.35,1255.3,3429
2017-04-24 12:00:00+05:30,1255.3,1256,1254.95,1256,1652
2017-04-24 12:05:00+05:30,1256,1256,1255,1255.1,877
2017-04-24 12:10:00+05:30,1255.05,1256,1254,1255,1961
2017-04-24 12:15:00+05:30,1255,1255.2,1254,1255.2,1077
2017-04-24 12:20:00+05:30,1255.2,1255.5,1254.1,1254.1,901
2017-04-24 12:25:00+05:30,1254.1,1254.6,1251,1254,1893
2017-04-24 12:30:00+05:30,1254,1255.75,1254,1254.1,1314
2017-04-24 12:35:00+05:30,1254.1,1255,1254,1254.05,857
2017-04-24 12:40:00+05:30,1254.05,1257,1254,1256.3,4102
2017-04-24 12:45:00+05:30,1256.3,1257,1255.3,1256.15,2413
2017-04-24 12:50:00+05:30,1256.15,1256.15,1253.85,1254.15,834
2017-04-24 12:55:00+05:30,1254.15,1256.85,1254,1255,2367
2017-04-24 13:00:00+05:30,1255,1255.2,1253.5,1253.5,304
2017-04-24 13:05:00+05:30,1254.5,1254.8,1253.5,1253.95,444
2017-04-24 13:10:00+05:30,1253.95,1254,1252,1252.45,1977
2017-04-24 13:15:00+05:30,1252.45,1256.85,1252.15,1253.45,6814
2017-04-24 13:20:00+05:30,1253.45,1255.8,1253.15,1255.55,2441
2017-04-24 13:25:00+05:30,1255.55,1255.55,1253.2,1253.7,850
2017-04-24 13:30:00+05:30,1253.7,1255.5,1253.7,1255.3,676
2017-04-24 13:35:00+05:30,1255.3,1257.95,1254.1,1257.9,3229
2017-04-24 13:40:00+05:30,1257.9,1266,1257.9,1263,29288
2017-04-24 13:45:00+05:30,1262.65,1271.5,1262.5,1267.45,19494
2017-04-24 13:50:00+05:30,1268.35,1271,1266.05,1270.5,16225
2017-04-24 13:55:00+05:30,1270,1270.05,1265.7,1266.5,8239
2017-04-24 14:00:00+05:30,1266.5,1274.75,1266,1274.25,24236
2017-04-24 14:05:00+05:30,1274,1274.45,1271,1271.05,6909
2017-04-24 14:10:00+05:30,1271.05,1271.9,1269.55,1271.55,4196
2017-04-24 14:15:00+05:30,1271.55,1274,1270.1,1274,6840
2017-04-24 14:20:00+05:30,1274,1275,1272,1272,9815
2017-04-24 14:25:00+05:30,1272,1274.9,1268.2,1268.2,11157
2017-04-24 14:30:00+05:30,1268.2,1269.95,1265.5,1267,5713
2017-04-24 14:35:00+05:30,1267,1272.75,1266.8,1270.55,2637
2017-04-24 14:40:00+05:30,1270.6,1272,1269.8,1270.5,6766
2017-04-24 14:45:00+05:30,1270.15,1271.5,1268.7,1271.5,7156
